Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
Kdm3b	ENSMUSG00000038773	schizophrenia	1e-8	KDM3B
Ksr2	ENSMUSG00000061578	unipolar depression	2e-8	KSR2
L3mbtl2	ENSMUSG00000022394	neuroticism	1e-17	L3MBTL2
L3mbtl2	ENSMUSG00000022394	unipolar depression	6e-11	L3MBTL2
Lars	ENSMUSG00000024493	Alzheimer's disease	4e-8	LARS
Lemd2	ENSMUSG00000044857	schizophrenia	9e-9	LEMD2
Letm2	ENSMUSG00000037363	schizophrenia	1e-11	LETM2
Lhfpl2	ENSMUSG00000045312	Parkinson's disease	1e-11	LHFPL2
Lin28b	ENSMUSG00000063804	schizophrenia	8e-9	LIN28B
Lin28b	ENSMUSG00000063804	unipolar depression	4e-9	LIN28B
Lingo1	ENSMUSG00000049556	neuroticism	9e-13	LINGO1
Lingo2	ENSMUSG00000045083	neuroticism	5e-14	LINGO2
Lpgat1	ENSMUSG00000026623	unipolar depression	3e-8	LPGAT1
Lrfn5	ENSMUSG00000035653	unipolar depression	3e-9	LRFN5
Lrrk2	ENSMUSG00000036273	Parkinson's disease	1e-39	LRRK2
Lsm1	ENSMUSG00000037296	schizophrenia	1e-10	LSM1
Macrod2	ENSMUSG00000068205	autism spectrum disorder	4e-8	MACROD2
Mad1l1	ENSMUSG00000029554	autism spectrum disorder	7e-16	MAD1L1
Mad1l1	ENSMUSG00000029554	bipolar disorder	8e-12	MAD1L1
Mad1l1	ENSMUSG00000029554	schizophrenia	4e-17	MAD1L1
Magi1	ENSMUSG00000045095	neuroticism	2e-8	MAGI1
Magi2	ENSMUSG00000040003	schizophrenia	4e-8	MAGI2
Man2a1	ENSMUSG00000024085	schizophrenia	8e-9	MAN2A1
Map4k4	ENSMUSG00000026074	Parkinson's disease	5e-11	MAP4K4
Mapt	ENSMUSG00000018411	neuroticism	1e-25	MAPT
Mapt	ENSMUSG00000018411	Parkinson's disease	1e-68	MAPT
Mbd5	ENSMUSG00000036792	neuroticism	6e-13	MBD5
Mccc1	ENSMUSG00000027709	Parkinson's disease	2e-30	MCCC1
Mdk	ENSMUSG00000027239	autism spectrum disorder	3e-13	MDK
Mdk	ENSMUSG00000027239	schizophrenia	3e-13	MDK
Mfhas1	ENSMUSG00000070056	neuroticism	6e-30	MFHAS1
Mkl1	ENSMUSG00000042292	autism spectrum disorder	1e-8	MKL1
Mkl1	ENSMUSG00000042292	schizophrenia	7e-10	MKL1
Mmp16	ENSMUSG00000028226	schizophrenia	1e-8	MMP16
Mob4	ENSMUSG00000025979	autism spectrum disorder	7e-9	MOB4
Mob4	ENSMUSG00000025979	schizophrenia	7e-9	MOB4
Mpc2	ENSMUSG00000026568	schizophrenia	1e-8	MPC2
Mphosph9	ENSMUSG00000038126	autism spectrum disorder	8e-12	MPHOSPH9
Mphosph9	ENSMUSG00000038126	schizophrenia	6e-18	MPHOSPH9
Msh5	ENSMUSG00000007035	autism spectrum disorder	4e-12	MSH5-SAPCD1, MSH5
Msh5	ENSMUSG00000007035	schizophrenia	4e-12	MSH5-SAPCD1, MSH5
Msi2	ENSMUSG00000069769	schizophrenia	2e-8	MSI2
Msra	ENSMUSG00000054733	neuroticism	9e-28	MSRA
Msra	ENSMUSG00000054733	schizophrenia	3e-8	MSRA
Mthfd1l	ENSMUSG00000040675	Alzheimer's disease	2e-10	MTHFD1L
Mtmr9	ENSMUSG00000035078	extraversion	2e-9	MTMR9
Mtmr9	ENSMUSG00000035078	neuroticism	5e-22	MTMR9
Myo10	ENSMUSG00000022272	unipolar depression	2e-8	MYO10
Myo16	ENSMUSG00000039057	Alzheimer's disease	2e-8	MYO16
Myo1h	ENSMUSG00000066952	neuroticism	5e-11	MYO1H
Nbas	ENSMUSG00000020576	unipolar depression	6e-9	NBAS
